Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
15,15000,15000,7.56,467.01,7,1.0,115000.0,Fully Paid,car,NJ,15016.54,28186.0,4
20,20000,20000,15.57,698.91,5,,46620.0,Fully Paid,car,VT,20045.85,9549.0,0
33,1200,1200,15.57,41.94,5,5.0,60000.0,Fully Paid,car,CA,1224.71,4314.0,4
133,5000,5000,17.19,178.74,5,1.0,56000.0,Fully Paid,car,CA,5017.95,687.0,7
216,14400,14400,22.5,401.82,4,3.0,91920.0,Fully Paid,car,IN,14456.7,4272.0,5
271,3500,3500,12.4,116.92,6,1.0,30000.0,Charged Off,car,WI,116.92,8032.0,3
309,14400,14400,20.0,535.16,4,1.0,60000.0,Charged Off,car,NC,0.0,4164.0,6
322,16000,16000,13.08,364.71,6,5.0,140000.0,Fully Paid,car,NJ,16208.87,2357.0,3
371,8000,8000,17.97,289.1,4,10.0,185000.0,Fully Paid,car,AZ,8013.18,35803.0,7
399,12000,12000,13.9,278.6,5,10.0,186500.0,Fully Paid,car,CA,12134.37,36238.0,6
416,11200,11200,11.02,366.78,6,3.0,59000.0,Fully Paid,car,NV,11224.0,12174.0,1
622,4500,4500,12.4,150.33,6,3.0,63000.0,Fully Paid,car,SC,4505.04,25999.0,1
680,32000,32000,7.02,988.36,7,10.0,155000.0,Fully Paid,car,TX,32019.81,3414.0,7
827,23800,23800,17.97,603.98,4,2.0,80000.0,Fully Paid,car,OH,23887.4,10896.0,5
849,5000,5000,13.9,170.65,5,10.0,40000.0,Fully Paid,car,MN,5006.37,16423.0,0
924,22500,22500,20.0,596.12,4,3.0,105500.0,Fully Paid,car,VA,22787.5,2511.0,3
932,20000,20000,17.19,714.95,5,9.0,65000.0,Charged Off,car,MN,0.0,27766.0,5
968,8400,8400,20.0,312.18,4,10.0,136992.0,Fully Paid,car,MO,150.06,10481.0,24
984,5300,5300,16.4,187.39,5,5.0,30700.0,Fully Paid,car,MD,5362.78,614.0,3
1038,2000,2000,8.81,63.43,7,5.0,80000.0,Fully Paid,car,NY,2015.16,19604.0,2
1041,4800,4800,8.81,152.22,7,1.0,20000.0,Fully Paid,car,OR,4842.26,2133.0,0
1120,4800,4800,20.0,178.39,4,10.0,73000.0,Fully Paid,car,KS,4779.97,1949.0,8
1151,9600,9600,7.56,298.89,7,6.0,185000.0,Fully Paid,car,TX,9616.37,22333.0,4
1182,14000,14000,7.56,435.88,7,1.0,40000.0,Fully Paid,car,MO,14009.7,560.0,2
1305,30875,30875,20.0,818.0,4,1.0,88000.0,Fully Paid,car,CO,30984.09,74803.0,0
1316,19000,19000,11.02,413.3,6,10.0,65000.0,Fully Paid,car,FL,19029.6,15378.0,4
