Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
0,10000,10000,12.4,224.48,6,,38000.0,Fully Paid,credit_card,GA,10163.74,19266.0,2
4,13750,13750,28.8,574.71,4,,17808.0,Fully Paid,credit_card,OH,13861.98,2802.0,6
9,26100,26100,20.0,691.5,4,10.0,68000.0,Fully Paid,credit_card,NY,26779.08,19241.0,17
16,13000,13000,20.0,483.13,4,1.0,30000.0,Fully Paid,credit_card,NV,13052.72,2446.0,6
21,7000,7000,7.02,216.21,7,7.0,79950.0,Fully Paid,credit_card,NY,7030.03,17041.0,3
28,5000,5000,20.0,185.82,4,,44000.0,Charged Off,credit_card,OK,0.0,2041.0,13
30,18000,18000,8.19,565.64,7,1.0,224000.0,Fully Paid,credit_card,CA,18021.21,4410.0,6
31,16000,16000,22.5,615.2,4,6.0,60000.0,Fully Paid,credit_card,NY,16350.0,2675.0,2
32,10000,10000,8.19,314.25,7,10.0,118000.0,Charged Off,credit_card,CA,314.25,38981.0,10
34,30925,30925,14.74,731.49,5,10.0,66000.0,Fully Paid,credit_card,AR,30990.59,24494.0,3
38,9000,9000,14.74,310.85,5,1.0,46000.0,Fully Paid,credit_card,SC,9117.76,2848.0,3
42,6000,6000,10.33,194.54,6,1.0,25000.0,Fully Paid,credit_card,OH,6008.92,9332.0,1
45,6025,6025,12.4,201.27,6,10.0,50000.0,Fully Paid,credit_card,MA,6089.77,749.0,5
57,40000,40000,20.0,1059.76,4,10.0,40000.0,Fully Paid,credit_card,CA,40996.72,41615.0,14
62,17000,17000,17.97,614.34,4,5.0,37000.0,Charged Off,credit_card,CA,0.0,5254.0,2
77,20000,20000,22.5,558.08,4,10.0,80000.0,Charged Off,credit_card,WI,0.0,5749.0,5
78,20000,20000,6.46,612.62,7,2.0,51000.0,Fully Paid,credit_card,NJ,20043.34,1964.0,4
82,32000,32000,17.97,812.07,4,5.0,211000.0,Fully Paid,credit_card,CA,32527.12,17013.0,3
89,15000,15000,6.46,459.47,7,10.0,35000.0,Fully Paid,credit_card,AZ,15013.54,10702.0,4
92,1400,1400,7.02,43.25,7,1.0,47256.0,Fully Paid,credit_card,NY,1406.01,1855.0,1
