Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
1,15000,15000,17.97,380.66,4,9.0,45000.0,Fully Paid,debt_consolidation,FL,15157.24,3329.0,5
2,35000,35000,13.08,797.8,6,1.0,125890.0,Fully Paid,debt_consolidation,VA,35067.4,28648.0,6
3,17500,17500,17.19,625.58,5,5.0,82000.0,Fully Paid,debt_consolidation,MO,17955.12,11815.0,5
5,10000,10000,13.9,341.3,5,10.0,90000.0,Fully Paid,debt_consolidation,NY,10153.57,4943.0,3
6,2400,2400,7.56,74.73,7,1.0,45000.0,Fully Paid,debt_consolidation,MD,2402.57,17207.0,3
7,40000,40000,12.4,897.89,6,4.0,150000.0,Fully Paid,debt_consolidation,NC,40699.16,13806.0,2
10,31000,31000,12.4,695.87,6,10.0,105000.0,Fully Paid,debt_consolidation,CA,31056.59,46105.0,2
11,24000,24000,13.08,547.06,6,10.0,82500.0,Fully Paid,debt_consolidation,AZ,24054.94,27945.0,8
13,17000,17000,13.9,394.68,5,10.0,62000.0,Fully Paid,debt_consolidation,TX,17034.79,4873.0,5
14,28000,28000,20.0,741.83,4,7.0,54000.0,Fully Paid,debt_consolidation,TN,28713.11,10537.0,6
22,28000,28000,17.97,1011.85,4,5.0,45000.0,Fully Paid,debt_consolidation,NJ,28487.7,2026.0,5
24,26000,26000,15.57,626.35,5,10.0,69000.0,Fully Paid,debt_consolidation,MD,26058.25,7603.0,17
25,35000,35000,7.02,1081.02,7,8.0,101000.0,Fully Paid,debt_consolidation,WA,35081.9,61895.0,4
26,40000,40000,16.4,981.25,5,1.0,130000.0,Fully Paid,debt_consolidation,MI,40961.22,12355.0,9
29,5000,5000,20.0,185.82,4,,24000.0,Fully Paid,debt_consolidation,FL,5019.44,1333.0,3
35,40000,40000,15.57,963.61,5,10.0,72000.0,Fully Paid,debt_consolidation,VA,40089.61,6587.0,7
41,15000,15000,7.02,463.3,7,6.0,63000.0,Fully Paid,debt_consolidation,AZ,15014.8,14187.0,2
47,18000,18000,20.0,668.95,4,2.0,38000.0,Charged Off,debt_consolidation,IL,0.0,1221.0,5
48,20000,20000,28.8,632.41,4,10.0,156000.0,Fully Paid,debt_consolidation,FL,20607.02,20387.0,9
49,7500,7500,14.74,259.04,5,10.0,70000.0,Fully Paid,debt_consolidation,FL,7536.85,1835.0,8
50,3000,3000,11.71,99.23,6,5.0,38400.0,Charged Off,debt_consolidation,AL,0.0,816.0,2
52,6000,6000,7.56,186.81,7,10.0,125000.0,Fully Paid,debt_consolidation,NY,20.26,26312.0,4
54,9000,9000,8.19,282.82,7,10.0,74000.0,Fully Paid,debt_consolidation,GA,9028.67,4677.0,3
55,40000,40000,16.4,981.25,5,8.0,160000.0,Fully Paid,debt_consolidation,FL,40094.39,91587.0,5
56,15000,15000,8.81,475.68,7,,65000.0,Fully Paid,debt_consolidation,CA,15116.94,49441.0,3
