Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
19,14000,14000,20.0,520.3,4,10.0,170000.0,Fully Paid,home_improvement,CA,14155.56,46017.0,9
40,10000,10000,7.02,308.87,7,1.0,195000.0,Fully Paid,home_improvement,NY,10104.13,34727.0,5
59,4000,4000,12.4,133.63,6,2.0,68500.0,Charged Off,home_improvement,CA,0.0,716.0,3
96,22000,22000,8.19,691.33,7,10.0,100000.0,Fully Paid,home_improvement,PA,22145.15,21783.0,9
101,14925,14925,16.4,366.13,5,3.0,133500.0,Fully Paid,home_improvement,UT,15202.95,56977.0,4
137,18000,18000,13.9,417.9,5,2.0,128000.0,Fully Paid,home_improvement,GA,18022.94,37125.0,5
145,10000,10000,14.74,236.54,5,10.0,56000.0,Fully Paid,home_improvement,IL,10183.55,53570.0,4
167,16000,16000,10.33,342.56,6,1.0,162000.0,Fully Paid,home_improvement,CA,16015.43,1745.0,8
191,13600,13600,17.97,345.13,4,,42000.0,Charged Off,home_improvement,AZ,0.0,15496.0,5
192,4000,4000,15.57,139.79,5,,57612.0,Fully Paid,home_improvement,GA,4009.46,4790.0,7
208,12000,12000,17.97,304.53,4,4.0,80000.0,Fully Paid,home_improvement,TX,12185.63,8198.0,2
210,25000,25000,13.9,580.42,5,,64800.0,Charged Off,home_improvement,PA,580.42,3045.0,0
212,21375,21375,16.4,755.71,5,10.0,160000.0,Charged Off,home_improvement,FL,755.71,3116.0,3
215,10000,10000,20.0,371.64,4,10.0,71000.0,Charged Off,home_improvement,LA,371.64,26515.0,5
217,20000,20000,11.02,435.05,6,6.0,39900.0,Charged Off,home_improvement,FL,435.05,5839.0,6
246,16800,16800,12.4,377.12,6,10.0,55000.0,Fully Paid,home_improvement,TX,17076.5,11290.0,6
258,40000,40000,13.08,1349.3,6,10.0,128000.0,Charged Off,home_improvement,CA,0.0,2396.0,1
260,20000,20000,11.02,654.97,6,9.0,105000.0,Charged Off,home_improvement,NY,654.97,4071.0,2
264,32000,32000,13.08,1079.44,6,3.0,150000.0,Charged Off,home_improvement,CA,1.06,64460.0,5
272,12000,12000,11.02,392.98,6,10.0,350000.0,Fully Paid,home_improvement,NY,12038.88,2914.0,4
289,4600,4600,20.0,170.96,4,6.0,90000.0,Fully Paid,home_improvement,TX,153.27,15728.0,4
324,6000,6000,15.57,209.68,5,6.0,70000.0,Fully Paid,home_improvement,PA,57.09,14700.0,10
327,40000,40000,10.33,856.4,6,10.0,100000.0,Fully Paid,home_improvement,CT,40037.88,41354.0,1
328,25000,25000,11.02,543.81,6,10.0,110000.0,Fully Paid,home_improvement,TX,25229.58,20822.0,10
