Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
51,11000,11000,13.08,250.74,6,10.0,150000.0,Fully Paid,house,NJ,11028.78,20550.0,1
58,15000,15000,14.74,518.08,5,10.0,94000.0,Fully Paid,house,IL,15031.81,18808.0,6
81,10000,10000,14.74,236.54,5,7.0,75000.0,Fully Paid,house,NJ,10021.21,7794.0,3
243,8000,8000,13.08,269.86,6,3.0,75000.0,Fully Paid,house,MI,8014.97,11838.0,7
584,4800,4800,13.08,161.92,6,2.0,0.0,Fully Paid,house,CO,4848.83,41914.0,0
602,20000,20000,25.0,795.2,4,8.0,110000.0,Fully Paid,house,VA,20045.83,3440.0,1
658,6000,6000,8.81,190.27,7,5.0,56000.0,Fully Paid,house,CA,5903.74,3266.0,9
770,12000,12000,13.9,409.55,5,5.0,89360.0,Fully Paid,house,CA,12024.0,17909.0,4
842,40000,40000,11.02,870.1,6,,50000.0,Fully Paid,house,NM,40090.12,46399.0,2
845,7000,7000,13.08,236.13,6,,50000.0,Fully Paid,house,WV,7020.35,577.0,4
868,20000,20000,7.02,617.73,7,3.0,250000.0,Fully Paid,house,NJ,20136.01,26338.0,1
914,3000,3000,17.97,108.42,4,1.0,75000.0,Fully Paid,house,NV,3062.51,14114.0,12
921,20000,20000,28.97,634.48,3,10.0,50000.0,Fully Paid,house,MI,20053.11,708.0,6
1037,10000,10000,11.71,330.76,6,10.0,211000.0,Charged Off,house,TX,0.0,52409.0,2
1060,3600,3600,11.02,117.9,6,,25000.0,Fully Paid,house,CA,3653.5,17553.0,6
1065,9000,9000,8.19,282.82,7,,45000.0,Fully Paid,house,NM,9087.39,2148.0,2
1086,20000,20000,13.9,682.59,5,10.0,67000.0,Fully Paid,house,TX,20025.48,5211.0,3
1180,1500,1500,17.19,53.63,5,2.0,37000.0,Fully Paid,house,CO,15.76,5353.0,4
1190,5000,5000,13.08,168.67,6,2.0,101500.0,Fully Paid,house,TX,5074.48,31807.0,4
