Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
37,3000,3000,11.71,99.23,6,2.0,48000.0,Fully Paid,major_purchase,NC,3007.81,3217.0,4
43,13000,13000,7.02,401.53,7,1.0,160000.0,Fully Paid,major_purchase,CA,19.29,20962.0,4
79,1100,1100,20.0,40.88,4,5.0,27000.0,Fully Paid,major_purchase,IN,29.58,2045.0,3
105,40000,40000,6.46,1225.24,7,4.0,103000.0,Fully Paid,major_purchase,CT,40250.32,44904.0,2
164,13000,13000,15.57,313.18,5,2.0,120000.0,Fully Paid,major_purchase,WI,13134.94,34593.0,3
197,28000,28000,22.5,781.32,4,3.0,150000.0,Fully Paid,major_purchase,OH,28525.0,35957.0,3
223,36000,36000,16.4,1272.78,5,5.0,129000.0,Charged Off,major_purchase,CA,1272.78,2330.0,3
269,6000,6000,7.56,186.81,7,4.0,99000.0,Fully Paid,major_purchase,MI,7.37,21403.0,4
281,12000,12000,14.74,414.46,5,3.0,85000.0,Fully Paid,major_purchase,NV,11914.61,18733.0,6
331,10000,10000,20.0,371.64,4,,108000.0,Fully Paid,major_purchase,MS,10111.11,7644.0,6
356,10000,10000,14.74,236.54,5,10.0,100000.0,Fully Paid,major_purchase,IL,10013.51,9766.0,3
357,10000,10000,10.33,324.23,6,4.0,10000.0,Fully Paid,major_purchase,MI,10009.47,2192.0,3
444,35000,35000,14.74,1208.84,5,10.0,85000.0,Fully Paid,major_purchase,MN,35076.81,23617.0,4
545,20000,20000,28.8,632.41,4,4.0,72000.0,Fully Paid,major_purchase,OH,20098.88,4506.0,4
612,1000,1000,28.8,41.8,4,10.0,72300.0,Fully Paid,major_purchase,VA,1011.2,25788.0,6
617,2500,2500,17.19,89.37,5,4.0,80000.0,Fully Paid,major_purchase,NJ,2484.91,11293.0,7
682,20000,20000,22.5,558.08,4,3.0,62000.0,Fully Paid,major_purchase,KY,20225.0,1999.0,1
696,8000,8000,17.19,285.98,5,7.0,80000.0,Fully Paid,major_purchase,PA,8196.84,8063.0,3
720,9000,9000,7.56,280.21,7,10.0,100000.0,Fully Paid,major_purchase,CA,9043.47,130.0,1
744,8000,8000,15.57,279.57,5,10.0,65000.0,Charged Off,major_purchase,NJ,279.57,5806.0,4
788,20000,20000,17.19,714.95,5,3.0,63000.0,Fully Paid,major_purchase,CA,20305.19,3746.0,3
816,8000,8000,13.08,269.86,6,10.0,50000.0,Fully Paid,major_purchase,WA,7930.28,2782.0,2
833,15000,15000,16.4,530.33,5,1.0,71000.0,Fully Paid,major_purchase,OK,15022.55,2255.0,2
856,5000,5000,7.56,155.67,7,3.0,76600.0,Fully Paid,major_purchase,TX,5035.6,15729.0,3
887,5000,5000,22.5,192.25,4,7.0,48000.0,Charged Off,major_purchase,NV,0.0,3423.0,3
889,8400,8400,12.4,280.61,6,10.0,110000.0,Fully Paid,major_purchase,OH,1245.42,1900.0,3
911,25000,25000,17.19,623.88,5,4.0,70000.0,Charged Off,major_purchase,NY,623.88,1386.0,7
920,4000,4000,11.02,131.0,6,2.0,70000.0,Fully Paid,major_purchase,SD,3945.1,0.0,0
940,6025,6025,20.0,223.92,4,2.0,140000.0,Charged Off,major_purchase,MA,223.92,9139.0,11
1008,25000,25000,22.5,961.25,4,1.0,180000.0,Fully Paid,major_purchase,GA,25267.09,1624.0,5
1036,4800,4800,11.71,158.77,6,,16800.0,Fully Paid,major_purchase,NY,4823.42,515.0,7
1108,6200,6200,7.02,191.5,7,3.0,50000.0,Fully Paid,major_purchase,NV,6243.34,3200.0,0
1178,2500,2500,7.56,77.84,7,3.0,74000.0,Fully Paid,major_purchase,MI,2503.97,14903.0,1
1216,25000,25000,11.02,818.71,6,1.0,60000.0,Fully Paid,major_purchase,FL,25025.71,6006.0,4
1218,15000,15000,28.8,474.31,4,,30000.0,Fully Paid,major_purchase,CA,15276.0,2162.0,3
1258,14400,14400,14.74,340.62,5,3.0,82000.0,Fully Paid,major_purchase,TX,6300.05,19976.0,3
1259,20000,20000,17.19,714.95,5,10.0,98000.0,Charged Off,major_purchase,CA,714.95,8985.0,5
1329,28000,28000,12.98,943.17,6,1.0,80000.0,Charged Off,major_purchase,NY,0.0,1805.0,3
1387,5200,5200,24.37,205.03,3,4.0,63000.0,Charged Off,major_purchase,NV,205.03,251.0,4
1417,4800,4800,18.94,175.81,4,10.0,90000.0,Fully Paid,major_purchase,TX,2670.88,20039.0,4
1422,3500,3500,17.97,126.49,4,7.0,90000.0,Fully Paid,major_purchase,CA,3490.6,14900.0,1
1466,1325,1325,16.14,46.68,5,6.0,47000.0,Fully Paid,major_purchase,PA,76.2,4169.0,4
1499,20000,20000,16.91,496.09,5,1.0,77275.0,Fully Paid,major_purchase,MD,20064.56,11252.0,1
1504,10000,10000,13.56,339.65,5,3.0,65000.0,Charged Off,major_purchase,CA,0.0,315.0,1
1505,22000,22000,16.91,545.7,5,1.0,45000.0,Fully Paid,major_purchase,SC,22034.1,31191.0,2
1514,2325,2325,7.02,71.82,7,1.0,115000.0,Fully Paid,major_purchase,RI,252.85,12141.0,10
1517,25000,25000,16.14,880.66,5,10.0,110000.0,Fully Paid,major_purchase,CA,25224.17,4774.0,7
1533,4000,4000,19.92,148.5,4,5.0,50000.0,Fully Paid,major_purchase,LA,4028.77,21479.0,2
1553,10000,10000,23.4,284.21,3,1.0,85000.0,Fully Paid,major_purchase,WA,10375.38,1328.0,6
1577,15000,15000,24.37,591.42,3,10.0,1500000.0,Charged Off,major_purchase,FL,620.99,9548.0,5
1590,3000,3000,18.94,109.88,4,,20000.0,Fully Paid,major_purchase,IL,3062.48,60.0,2
1654,40000,40000,8.81,1268.46,7,1.0,70000.0,Fully Paid,major_purchase,NY,40061.18,3504.0,4
1665,4475,4475,14.47,153.97,5,2.0,16000.0,Fully Paid,major_purchase,GA,4486.33,9205.0,5
1682,10000,10000,18.94,259.08,4,10.0,44010.0,Charged Off,major_purchase,NY,259.08,1939.0,10
1694,1000,1000,17.97,36.14,4,,30000.0,Charged Off,major_purchase,FL,36.14,2422.0,2
1695,10000,10000,10.72,326.07,6,,60000.0,Charged Off,major_purchase,AZ,367.76,2496.0,1
1705,8400,8400,10.33,272.35,6,10.0,80000.0,Fully Paid,major_purchase,TX,8325.63,21507.0,4
1708,15000,15000,20.89,404.88,4,3.0,63000.0,Fully Paid,major_purchase,FL,4418.79,22477.0,6
1720,8000,8000,7.02,247.09,7,7.0,72000.0,Charged Off,major_purchase,GA,0.0,1240.0,6
1727,3000,3000,15.02,104.03,5,6.0,51000.0,Charged Off,major_purchase,CA,0.0,26381.0,1
1808,1000,1000,10.72,32.61,6,10.0,85000.0,Fully Paid,major_purchase,OK,0.89,12025.0,8
1816,15000,15000,11.31,493.29,6,10.0,83000.0,Fully Paid,major_purchase,NY,14862.48,3517.0,1
1852,7000,7000,14.47,240.85,5,10.0,69000.0,Charged Off,major_purchase,MD,0.0,18488.0,7
1893,25500,25500,20.89,959.28,4,6.0,70000.0,Charged Off,major_purchase,VA,1077.66,693.0,5
