Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
76,40000,40000,11.71,1323.04,6,1.0,179000.0,Charged Off,medical,FL,0.0,2318.0,2
103,1100,1100,7.56,34.25,7,1.0,92000.0,Fully Paid,medical,CA,1109.41,3350.0,2
113,8000,8000,11.71,264.61,6,,73336.0,Fully Paid,medical,AZ,8018.22,2126.0,2
122,25000,25000,7.56,778.35,7,10.0,74000.0,Fully Paid,medical,WA,25053.81,17893.0,3
140,3025,3025,13.08,102.05,6,1.0,60000.0,Fully Paid,medical,GA,3064.42,39965.0,1
232,1000,1000,8.81,31.72,7,5.0,100000.0,Fully Paid,medical,FL,1002.69,4697.0,1
270,25000,25000,20.0,929.09,4,2.0,100006.0,Fully Paid,medical,VA,25071.94,17214.0,1
355,6000,6000,10.33,194.54,6,10.0,54000.0,Fully Paid,medical,WA,6013.77,30277.0,3
477,2650,2650,20.0,98.49,4,6.0,63000.0,Fully Paid,medical,PA,2707.15,6360.0,4
479,2400,2400,12.4,80.18,6,10.0,50000.0,Fully Paid,medical,CA,2420.67,14773.0,0
571,20000,20000,29.0,634.84,3,3.0,62000.0,Charged Off,medical,GA,634.84,21884.0,7
592,9000,9000,7.56,280.21,7,7.0,85000.0,Fully Paid,medical,TX,9030.24,15202.0,8
713,3000,3000,11.02,98.25,6,6.0,45300.0,Fully Paid,medical,OK,3027.56,3345.0,5
763,9100,9100,11.71,301.0,6,,22800.0,Fully Paid,medical,NC,9174.0,700.0,3
774,1500,1500,8.81,47.57,7,10.0,85000.0,Fully Paid,medical,CT,1519.31,9597.0,8
907,5500,5500,13.9,187.71,5,10.0,44500.0,Fully Paid,medical,CA,5448.41,129.0,1
1114,2500,2500,6.46,76.58,7,7.0,150000.0,Fully Paid,medical,CA,2501.37,49703.0,4
1124,16000,16000,19.92,423.2,4,1.0,60000.0,Fully Paid,medical,MO,16253.21,3473.0,0
1160,8000,8000,11.71,264.61,6,4.0,72500.0,Fully Paid,medical,MD,8124.24,4003.0,0
1295,2800,2800,16.4,99.0,5,4.0,60000.0,Fully Paid,medical,CA,2284.92,689.0,3
1308,17500,17500,8.19,356.44,7,10.0,60000.0,Fully Paid,medical,DE,17525.08,1883.0,9
1318,11000,11000,22.5,306.95,4,10.0,53941.09,Charged Off,medical,TX,306.95,2034.0,1
1777,3000,3000,8.19,94.28,7,3.0,65000.0,Fully Paid,medical,MA,3004.16,4763.0,4
1844,31000,31000,16.14,1092.02,5,1.0,300000.0,Fully Paid,medical,FL,31046.7,11591.0,3
1932,5200,5200,13.56,176.62,5,10.0,58000.0,Fully Paid,medical,IL,5241.13,12785.0,9
1967,9000,9000,8.81,285.41,7,5.0,155000.0,Fully Paid,medical,AL,9052.86,32100.0,3
1995,7350,7350,17.97,265.61,4,5.0,31000.0,Fully Paid,medical,NE,7340.83,2475.0,6
2062,12000,12000,10.33,256.92,6,10.0,160000.0,Charged Off,medical,NY,256.92,17530.0,14
2224,6000,6000,8.81,190.27,7,8.0,300000.0,Fully Paid,medical,OH,5771.9,31397.0,2
2287,4200,4200,7.02,129.73,7,,55000.0,Fully Paid,medical,IL,4128.13,3703.0,1
2340,3000,3000,16.14,105.68,5,1.0,73000.0,Fully Paid,medical,TX,2975.43,5343.0,9
2416,2475,2475,7.56,77.06,7,6.0,58000.0,Fully Paid,medical,FL,2477.68,0.0,1
2483,1500,1500,20.89,56.43,4,,68364.0,Fully Paid,medical,CA,1513.93,2018.0,11
2487,2100,2100,15.02,72.82,5,6.0,31000.0,Fully Paid,medical,TX,2114.02,5963.0,6
2552,10000,10000,19.92,371.23,4,10.0,5500.0,Charged Off,medical,CA,371.23,6149.0,3
2676,15000,15000,12.98,505.27,6,9.0,50000.0,Charged Off,medical,VT,0.0,2345.0,3
2692,5000,5000,13.56,169.83,5,,32505.0,Fully Paid,medical,TX,5082.27,4943.0,5
2717,4000,4000,11.31,131.55,6,8.0,68000.0,Fully Paid,medical,IN,4004.22,14789.0,2
2844,2400,2400,15.02,83.23,5,3.0,38000.0,Fully Paid,medical,NY,2405.43,1077.0,4
2852,10000,10000,13.56,339.65,5,,36000.0,Fully Paid,medical,AL,10056.5,3904.0,1
2872,1000,1000,27.27,40.98,3,1.0,32000.0,Charged Off,medical,TX,81.96,6480.0,0
2959,1500,1500,10.72,48.91,6,1.0,48000.0,Fully Paid,medical,TX,3.57,37144.0,2
2976,4200,4200,18.94,153.83,4,10.0,55000.0,Fully Paid,medical,WA,3999.33,44533.0,3
3007,5000,5000,17.97,180.69,4,3.0,190000.0,Charged Off,medical,PA,180.69,6503.0,4
3299,30000,30000,18.94,777.23,4,1.0,140000.0,Charged Off,medical,CA,400.0,2149.0,2
3310,3000,3000,8.81,95.14,7,3.0,64000.0,Fully Paid,medical,VA,3034.2,19282.0,5
3356,10000,10000,16.91,248.05,5,4.0,51000.0,Charged Off,medical,FL,8248.05,2730.0,4
3429,10500,10500,16.91,373.89,5,2.0,165000.0,Fully Paid,medical,NJ,10604.79,4951.0,4
3436,10000,10000,26.31,301.25,3,3.0,40000.0,Charged Off,medical,FL,301.25,18953.0,1
