Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
53,6000,6000,13.08,202.4,6,,35707.0,Fully Paid,moving,NY,6114.4,1119.0,5
299,3000,3000,12.4,100.22,6,6.0,90000.0,Fully Paid,moving,OK,3062.63,17477.0,5
480,3000,3000,7.56,93.41,7,2.0,90000.0,Fully Paid,moving,FL,2018.9,7358.0,3
616,8000,8000,14.74,276.31,5,1.0,64000.0,Fully Paid,moving,GA,8010.81,143.0,1
701,20000,20000,28.9,633.63,3,1.0,45000.0,Fully Paid,moving,GA,20052.98,3342.0,2
927,3600,3600,20.0,133.79,4,2.0,100000.0,Fully Paid,moving,NC,3673.71,14467.0,1
1047,5000,5000,8.19,157.13,7,10.0,96595.0,Fully Paid,moving,CA,5005.89,796.0,5
1052,5500,5500,11.71,181.92,6,8.0,110200.0,Fully Paid,moving,NY,5528.62,38807.0,4
1069,8000,8000,17.97,289.1,4,,62000.0,Fully Paid,moving,CA,8071.88,8134.0,15
1115,28000,28000,8.81,887.92,7,10.0,194000.0,Fully Paid,moving,VA,27642.03,69171.0,4
1234,5000,5000,16.4,176.78,5,2.0,32000.0,Fully Paid,moving,IL,5010.68,1392.0,5
1307,1000,1000,28.8,41.8,4,9.0,110000.0,Fully Paid,moving,TX,1032.49,57042.0,3
1463,15000,15000,15.02,520.13,5,,126000.0,Charged Off,moving,TX,520.13,7735.0,3
1494,20000,20000,8.19,628.49,7,1.0,10000.0,Charged Off,moving,TN,19181.35,7077.0,1
1542,10000,10000,11.8,221.44,6,,110000.0,Fully Paid,moving,CA,10063.52,4285.0,6
1552,28000,28000,27.27,859.52,3,3.0,85000.0,Fully Paid,moving,FL,3.03,14982.0,7
1697,5000,5000,7.02,154.44,7,10.0,80000.0,Fully Paid,moving,NY,5012.91,610.0,2
1939,4000,4000,18.94,146.51,4,8.0,150000.0,Fully Paid,moving,WA,4079.62,6322.0,3
2001,5000,5000,12.98,168.43,6,10.0,85000.0,Fully Paid,moving,AK,4978.06,6324.0,5
2152,5000,5000,16.91,178.04,5,10.0,54000.0,Fully Paid,moving,PA,5103.8,13287.0,1
2205,10000,10000,26.31,301.25,3,5.0,65000.0,Charged Off,moving,NY,301.25,276.0,3
2265,2000,2000,7.02,61.78,7,10.0,37400.0,Fully Paid,moving,OH,1912.46,8639.0,3
2295,7500,7500,20.89,282.14,4,,36000.0,Charged Off,moving,SC,0.0,4624.0,14
2309,5000,5000,8.19,157.13,7,1.0,50000.0,Fully Paid,moving,NC,4934.07,22624.0,1
2373,4800,4800,7.02,148.26,7,1.0,105000.0,Fully Paid,moving,NY,3026.29,621.0,0
2614,8000,8000,18.94,293.01,4,10.0,55000.0,Fully Paid,moving,CA,8216.93,3584.0,4
2658,1500,1500,6.46,45.95,7,1.0,99000.0,Fully Paid,moving,CA,1500.82,3495.0,4
2710,10000,10000,6.46,306.31,7,1.0,39000.0,Fully Paid,moving,TX,607.45,3377.0,0
2755,3000,3000,17.97,108.42,4,,9492.0,Charged Off,moving,IL,108.42,792.0,0
3000,3000,3000,23.4,116.76,3,5.0,80000.0,Fully Paid,moving,TX,3016.54,5808.0,10
3013,20000,20000,17.97,507.55,4,4.0,165000.0,Fully Paid,moving,TX,20313.14,22070.0,5
3115,25600,25600,15.02,887.69,5,1.0,23162.11,Charged Off,moving,NY,887.69,342.0,6
3186,5500,5500,7.02,169.88,7,10.0,115000.0,Fully Paid,moving,NV,22.52,35746.0,2
3284,25000,25000,14.47,587.82,5,2.0,36000.0,Fully Paid,moving,CT,25469.91,1533.0,1
3321,2000,2000,8.81,63.43,7,10.0,51000.0,Fully Paid,moving,CA,1977.22,4294.0,4
3330,4000,4000,12.98,134.74,6,2.0,117500.0,Fully Paid,moving,CA,4009.01,4969.0,1
3343,2000,2000,23.4,77.84,3,10.0,50000.0,Fully Paid,moving,TX,2047.92,3054.0,5
3467,2000,2000,20.89,75.24,4,8.0,48000.0,Charged Off,moving,FL,75.24,2709.0,5
3505,16000,16000,17.97,406.04,4,3.0,96000.0,Fully Paid,moving,MI,15771.06,20865.0,3
3676,40000,40000,18.94,1036.31,4,10.0,104500.0,Charged Off,moving,NJ,1036.31,3575.0,3
3684,7500,7500,20.89,282.14,4,2.0,68000.0,Charged Off,moving,CA,282.14,0.0,0
3882,4200,4200,11.8,139.1,6,3.0,110000.0,Charged Off,moving,OH,139.1,15312.0,11
4070,4000,4000,11.31,131.55,6,1.0,62000.0,Fully Paid,moving,TX,4061.02,3740.0,6
4322,6000,6000,16.14,211.36,5,,50000.0,Charged Off,moving,CO,211.36,,0
4358,10000,10000,7.56,311.34,7,1.0,80000.0,Fully Paid,moving,NY,7062.15,6025.0,1
4405,15000,15000,8.19,471.37,7,1.0,175000.0,Fully Paid,moving,TX,14448.42,63534.0,6
4450,3000,3000,26.31,121.37,3,1.0,40000.0,Fully Paid,moving,CA,2982.68,4822.0,2
4752,7900,7900,23.4,307.46,3,1.0,66000.0,Charged Off,moving,NV,307.46,4018.0,8
