Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
8,10000,10000,6.46,306.31,7,8.0,59000.0,Fully Paid,other,TX,10009.5,14765.0,1
12,8000,8000,16.4,282.84,5,2.0,46000.0,Fully Paid,other,TN,8019.32,12189.0,2
17,3600,3600,16.4,127.28,5,,46000.0,Fully Paid,other,NC,3611.97,2632.0,3
18,10500,10500,11.71,347.3,6,3.0,100000.0,Fully Paid,other,IL,10517.08,666.0,3
23,14000,14000,17.19,349.37,5,1.0,60000.0,Fully Paid,other,MI,14034.63,4517.0,3
27,6000,6000,17.19,214.49,5,1.0,77500.0,Charged Off,other,NY,0.0,9551.0,1
36,3000,3000,11.71,99.23,6,,54000.0,Fully Paid,other,CA,3030.23,31719.0,2
39,40000,40000,7.56,1245.36,7,10.0,150000.0,Fully Paid,other,OH,92.4,14197.0,2
44,40000,40000,8.19,814.7,7,1.0,70000.0,Fully Paid,other,MA,40047.14,38111.0,5
60,5000,5000,20.0,185.82,4,7.0,50000.0,Fully Paid,other,AZ,52.78,14218.0,6
61,9000,9000,13.08,303.6,6,8.0,100000.0,Fully Paid,other,CA,9016.84,342.0,9
87,1500,1500,8.81,47.57,7,10.0,73000.0,Fully Paid,other,VA,1512.45,10402.0,4
94,1200,1200,12.4,40.09,6,2.0,42482.0,Fully Paid,other,CA,1209.09,3822.0,3
118,4800,4800,7.02,148.26,7,1.0,58000.0,Fully Paid,other,TX,4001.05,1786.0,2
123,9600,9600,13.08,323.84,6,10.0,27000.0,Fully Paid,other,WI,9762.58,20600.0,2
128,3600,3600,17.97,130.1,4,2.0,69000.0,Charged Off,other,NY,0.0,14567.0,11
150,6400,6400,10.33,207.51,6,10.0,65000.0,Fully Paid,other,TN,6414.69,2546.0,5
177,6500,6500,11.71,215.0,6,,36000.0,Charged Off,other,TX,0.0,1056.0,4
182,7200,7200,7.02,222.39,7,9.0,144000.0,Fully Paid,other,CA,7219.66,25924.0,7
187,2200,2200,10.33,71.33,6,1.0,40800.0,Fully Paid,other,CA,2228.18,3003.0,1
206,6025,6025,13.08,203.24,6,10.0,56000.0,Fully Paid,other,MA,6036.6,1521.0,1
214,6600,6600,13.9,225.26,5,2.0,50000.0,Charged Off,other,OH,225.26,13767.0,8
