Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
46,20000,20000,20.0,743.28,4,1.0,80000.0,Fully Paid,small_business,NJ,20288.89,6.0,11
102,14000,14000,12.4,314.26,6,8.0,190000.0,Fully Paid,small_business,WA,14130.2,87775.0,3
165,39075,39075,11.02,1279.64,6,1.0,1750000.0,Fully Paid,small_business,MI,39725.82,13251.0,4
199,10000,10000,12.4,334.06,6,1.0,30000.0,Charged Off,small_business,ME,334.06,34004.0,3
219,20000,20000,10.33,648.45,6,10.0,120000.0,Fully Paid,small_business,MD,20143.47,15014.0,2
381,16000,16000,16.4,565.68,5,2.0,120000.0,Fully Paid,small_business,IN,16024.49,281.0,8
405,35000,35000,15.57,1223.08,5,1.0,90000.0,Fully Paid,small_business,NV,35123.82,5202.0,2
717,10000,10000,13.08,337.33,6,,70000.0,Charged Off,small_business,TX,337.33,5258.0,5
797,30000,30000,6.46,918.93,7,10.0,80000.0,Fully Paid,small_business,CA,30027.08,40121.0,4
837,40000,40000,7.56,1245.36,7,3.0,150000.0,Charged Off,small_business,WI,0.0,4046.0,12
917,20000,20000,15.57,698.91,5,1.0,45000.0,Fully Paid,small_business,TX,20028.55,8737.0,3
991,10000,10000,8.81,317.12,7,1.0,65000.0,Fully Paid,small_business,CA,10027.36,1737.0,4
1033,20000,20000,17.97,722.75,4,1.0,40000.0,Charged Off,small_business,NY,722.75,7129.0,4
1073,16000,16000,13.9,546.07,5,,190000.0,Charged Off,small_business,OH,0.0,15084.0,4
1496,28500,28500,23.4,1109.18,3,9.0,100000.0,Charged Off,small_business,VA,0.0,17343.0,11
1605,20000,20000,18.94,732.52,4,5.0,102000.0,Fully Paid,small_business,ID,20034.72,5613.0,7
1791,30000,30000,6.46,918.93,7,10.0,200000.0,Fully Paid,small_business,CO,20.44,69826.0,5
1845,2275,2275,23.4,88.54,3,1.0,40000.0,Charged Off,small_business,RI,88.54,2740.0,0
1904,16000,16000,18.94,414.53,4,3.0,69000.0,Fully Paid,small_business,MI,16027.78,9320.0,3
1993,40000,40000,10.72,864.13,6,7.0,315000.0,Fully Paid,small_business,CA,39857.77,106499.0,1
2016,40000,40000,17.97,1015.09,4,3.0,140000.0,Charged Off,small_business,MI,0.0,44349.0,4
2035,25000,25000,15.02,866.88,5,10.0,95000.0,Fully Paid,small_business,IN,25054.03,22377.0,2
2495,15000,15000,7.56,467.01,7,10.0,244916.0,Fully Paid,small_business,FL,15094.5,4253.0,4
2678,18000,18000,7.56,560.41,7,10.0,175000.0,Charged Off,small_business,MI,0.0,76106.0,4
2701,12000,12000,6.46,367.57,7,1.0,45000.0,Fully Paid,small_business,TX,12036.61,4255.0,3
2884,4000,4000,11.31,131.55,6,10.0,103000.0,Fully Paid,small_business,CA,3974.1,25686.0,6
2894,12000,12000,8.19,377.09,7,1.0,200000.0,Charged Off,small_business,CA,377.09,7475.0,5
2895,5000,5000,8.81,158.56,7,10.0,60000.0,Charged Off,small_business,SC,158.56,6164.0,3
2927,30000,30000,11.8,664.31,6,9.0,80000.0,Charged Off,small_business,NH,664.31,20013.0,2
3227,1000,1000,24.37,39.43,3,3.0,135000.0,Fully Paid,small_business,CA,1022.96,2910.0,3
3288,5000,5000,14.47,172.04,5,10.0,65000.0,Fully Paid,small_business,FL,917.24,33420.0,1
3323,24000,24000,22.35,667.64,4,2.0,117000.0,Charged Off,small_business,CA,667.64,15372.0,6
3473,6000,6000,14.47,206.44,5,1.0,220000.0,Fully Paid,small_business,MI,13.49,2499.0,1
3564,10400,10400,23.4,404.76,3,1.0,66232.0,Fully Paid,small_business,UT,10520.3,1453.0,4
3706,5000,5000,16.91,178.04,5,8.0,150000.0,Charged Off,small_business,TX,178.04,11110.0,8
3729,10000,10000,19.92,371.23,4,2.0,45000.0,Fully Paid,small_business,CT,9987.82,2863.0,5
3745,14000,14000,15.02,333.21,5,10.0,80000.0,Fully Paid,small_business,NY,14280.37,15386.0,6
3827,1000,1000,27.27,40.98,3,7.0,70000.0,Fully Paid,small_business,MI,14.62,2268.0,1
3851,15000,15000,19.92,556.85,4,4.0,70000.0,Fully Paid,small_business,CA,14936.04,14263.0,3
4154,8000,8000,15.02,277.41,5,1.0,92000.0,Charged Off,small_business,CA,277.41,1095.0,3
4201,4000,4000,10.72,130.43,6,9.0,80000.0,Fully Paid,small_business,IN,4019.06,13093.0,3
4293,30725,30725,19.92,1140.6,4,1.0,21600.0,Charged Off,small_business,FL,1140.6,26439.0,4
4320,9600,9600,8.81,304.43,7,1.0,20000.0,Charged Off,small_business,MT,304.43,2017.0,7
4438,5000,5000,11.31,164.43,6,1.0,60000.0,Fully Paid,small_business,MI,4688.53,16282.0,3
4491,7000,7000,7.56,217.94,7,2.0,75000.0,Fully Paid,small_business,NE,6890.12,11498.0,3
4538,26000,26000,10.72,847.77,6,2.0,140000.0,Fully Paid,small_business,NC,26054.2,35296.0,5
4632,5000,5000,13.56,169.83,5,10.0,51000.0,Fully Paid,small_business,NJ,5011.64,5009.0,4
4664,40000,40000,10.33,856.4,6,3.0,102000.0,Fully Paid,small_business,GA,40059.45,7147.0,1
