Column,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
84,2400,2400,20.0,89.2,4,10.0,45000.0,Fully Paid,vacation,ID,2425.33,21672.0,5
144,5000,5000,8.81,158.56,7,10.0,124000.0,Fully Paid,vacation,NY,5003.98,19353.0,10
310,1500,1500,12.4,50.11,6,10.0,91000.0,Charged Off,vacation,NJ,0.0,14542.0,11
374,2400,2400,11.71,79.39,6,2.0,54000.0,Fully Paid,vacation,NJ,2402.58,1041.0,4
473,4200,4200,7.02,129.73,7,10.0,100000.0,Fully Paid,vacation,WA,4250.25,6697.0,2
478,16500,16500,11.02,358.92,6,1.0,100000.0,Fully Paid,vacation,PA,16526.16,5702.0,1
627,4000,4000,15.57,139.79,5,5.0,260000.0,Fully Paid,vacation,TX,36.33,12536.0,7
634,5000,5000,15.57,174.73,5,,25572.0,Fully Paid,vacation,PA,5007.14,1496.0,4
637,8400,8400,11.02,275.09,6,1.0,100000.0,Fully Paid,vacation,AZ,6290.35,4003.0,3
755,10000,10000,20.0,371.64,4,1.0,50000.0,Charged Off,vacation,GA,371.64,3113.0,6
840,7000,7000,20.0,260.15,4,3.0,52000.0,Fully Paid,vacation,TX,7035.0,2691.0,5
878,10000,10000,17.97,361.38,4,5.0,62000.0,Fully Paid,vacation,NJ,10046.42,136.0,3
1239,10000,10000,17.97,253.78,4,1.0,92000.0,Fully Paid,vacation,CA,200.18,3361.0,3
1262,3000,3000,18.94,109.88,4,,28777.52,Fully Paid,vacation,CA,3011.52,1584.0,2
1430,1200,1200,11.8,39.75,6,3.0,70000.0,Fully Paid,vacation,NY,1212.57,132.0,4
1468,2200,2200,8.19,69.14,7,2.0,31000.0,Fully Paid,vacation,OH,1516.59,213.0,1
1591,10000,10000,16.14,352.27,5,10.0,137000.0,Charged Off,vacation,MN,352.27,14093.0,2
1756,3200,3200,18.94,117.21,4,9.0,100000.0,Fully Paid,vacation,VA,3260.4,37173.0,3
1766,5000,5000,20.89,188.1,4,10.0,135000.0,Fully Paid,vacation,VA,4992.57,56294.0,1
1848,3025,3025,7.02,93.44,7,3.0,65000.0,Fully Paid,vacation,GA,3026.95,8204.0,5
1876,3000,3000,14.47,103.22,5,10.0,151000.0,Fully Paid,vacation,PA,2974.08,11593.0,7
1879,1000,1000,16.14,35.23,5,2.0,145000.0,Fully Paid,vacation,OH,2.28,6552.0,4
1894,12000,12000,6.46,367.57,7,10.0,75000.0,Fully Paid,vacation,CA,5041.47,13025.0,2
1997,3000,3000,20.89,112.86,4,5.0,230000.0,Fully Paid,vacation,WA,3034.82,61315.0,5
2044,10000,10000,19.92,371.23,4,10.0,150000.0,Fully Paid,vacation,MS,9967.97,23595.0,5
2171,2000,2000,16.91,71.22,5,2.0,62000.0,Fully Paid,vacation,TX,818.05,175.0,1
2212,5000,5000,8.19,157.13,7,8.0,153000.0,Fully Paid,vacation,NH,26.16,41757.0,1
2418,6000,6000,8.19,188.55,7,10.0,41625.0,Fully Paid,vacation,CA,5742.85,105.0,4
2421,3600,3600,13.56,122.28,5,,84000.0,Fully Paid,vacation,ID,3660.56,4126.0,4
2427,10000,10000,14.47,344.07,5,10.0,35000.0,Fully Paid,vacation,TX,9717.95,155.0,5
2457,7775,7775,20.89,292.49,4,10.0,110000.0,Fully Paid,vacation,NY,7847.19,25314.0,1
2466,40000,40000,7.02,1235.45,7,4.0,124000.0,Charged Off,vacation,CA,0.0,870.0,2
2547,30000,30000,14.47,1032.2,5,10.0,100000.0,Fully Paid,vacation,CA,30040.52,5650.0,8
2656,4000,4000,7.02,123.55,7,5.0,100000.0,Fully Paid,vacation,FL,1765.02,4397.0,2
2771,5000,5000,12.98,168.43,6,10.0,88000.0,Fully Paid,vacation,MO,4957.42,26458.0,3
2818,4000,4000,11.31,131.55,6,10.0,70000.0,Fully Paid,vacation,CA,4065.93,3723.0,0
2962,2500,2500,10.72,81.52,6,10.0,82000.0,Fully Paid,vacation,DC,2533.5,3910.0,4
3200,25000,25000,18.94,915.65,4,5.0,168400.0,Fully Paid,vacation,PA,14287.33,10607.0,7
3832,3500,3500,16.91,124.63,5,10.0,32000.0,Charged Off,vacation,NC,124.63,4787.0,8
4007,4000,4000,14.47,137.63,5,,31476.0,Charged Off,vacation,OH,137.63,2636.0,5
4032,15000,15000,24.37,434.75,3,10.0,82862.0,Fully Paid,vacation,FL,248.58,1303.0,3
4035,2000,2000,7.02,61.78,7,10.0,60000.0,Fully Paid,vacation,HI,1863.79,59001.0,1
4072,1000,1000,26.31,40.46,3,10.0,119000.0,Fully Paid,vacation,MD,20.46,28832.0,4
4147,20000,20000,17.97,507.55,4,3.0,74039.0,Fully Paid,vacation,FL,400.39,867.0,3
4209,1000,1000,8.81,31.72,7,4.0,140000.0,Fully Paid,vacation,OH,531.66,26463.0,4
4227,5000,5000,20.89,188.1,4,10.0,85000.0,Fully Paid,vacation,TX,4889.45,18148.0,12
4232,5000,5000,11.31,164.43,6,5.0,150000.0,Fully Paid,vacation,CA,4711.28,47610.0,5
4300,3500,3500,11.8,115.92,6,2.0,72000.0,Fully Paid,vacation,NY,3287.14,3035.0,9
4332,12000,12000,6.46,367.57,7,10.0,80000.0,Fully Paid,vacation,FL,11788.62,15266.0,4
4482,6000,6000,11.8,198.72,6,1.0,33000.0,Fully Paid,vacation,HI,6023.6,10430.0,1
4599,2000,2000,14.47,68.82,5,2.0,53000.0,Fully Paid,vacation,AZ,1998.84,28417.0,2
4750,15000,15000,23.4,583.78,3,3.0,59000.0,Charged Off,vacation,MI,440.37,13615.0,7
